time_period,time,duration,amplitude
19:00:00,19:49:25,1.0,-3.749999999999588
19:00:00,19:49:29,4.0,3.749999999999588
19:00:00,19:49:42,13.0,-3.749999999999588
19:00:00,19:49:53,11.0,3.749999999999588
19:00:00,19:49:54,1.0,-3.749999999999588
19:00:00,19:50:09,15.0,3.749999999999588
19:00:00,19:53:22,193.0,-7.499999999999176
19:00:00,19:53:23,1.0,3.749999999999588
19:00:00,19:53:57,34.0,-1.874999999999794
19:00:00,19:54:46,49.0,1.874999999999794
19:00:00,19:55:48,62.0,-5.624999999999382
19:00:00,19:55:52,4.0,1.874999999999794
19:00:00,19:56:02,10.0,-3.749999999999588
19:00:00,19:56:05,3.0,3.749999999999588
19:00:00,19:56:07,2.0,-3.749999999999588
19:00:00,19:56:11,4.0,1.874999999999794
19:00:00,19:56:49,38.0,-1.874999999999794
19:00:00,19:57:32,43.0,3.749999999999588
19:00:00,19:57:36,4.0,-3.749999999999588
19:00:00,19:57:42,6.0,3.749999999999588
19:00:00,19:57:43,1.0,-1.874999999999794
19:00:00,19:57:44,1.0,1.874999999999794
19:00:00,19:59:25,101.0,-5.624999999999382
19:00:00,19:59:26,1.0,1.874999999999794
20:00:00,20:00:20,2.0,-3.749999999999587
20:00:00,20:00:30,10.0,3.749999999999587
20:00:00,20:00:34,4.0,-1.8749999999997935
20:00:00,20:00:35,1.0,1.8749999999997935
20:00:00,20:00:39,4.0,-1.8749999999997935
20:00:00,20:01:22,43.0,3.749999999999587
20:00:00,20:01:48,26.0,-1.8749999999997935
20:00:00,20:02:04,16.0,13.124999999998554
20:00:00,20:02:10,6.0,-1.874999999999794
20:00:00,20:02:13,3.0,3.749999999999588
20:00:00,20:02:16,3.0,-5.624999999999382
20:00:00,20:02:23,7.0,5.624999999999382
20:00:00,20:02:49,26.0,-3.749999999999588
20:00:00,20:02:50,1.0,3.749999999999588
20:00:00,20:02:53,3.0,-1.874999999999794
20:00:00,20:02:54,1.0,1.874999999999794
20:00:00,20:03:01,7.0,-3.749999999999588
20:00:00,20:03:07,6.0,3.749999999999588
20:00:00,20:03:08,1.0,-3.749999999999588
20:00:00,20:03:13,5.0,3.749999999999588
20:00:00,20:03:57,44.0,-3.749999999999588
20:00:00,20:03:59,2.0,3.749999999999588
20:00:00,20:04:05,6.0,-3.749999999999588
20:00:00,20:05:02,57.0,11.249999999998764
20:00:00,20:05:11,9.0,-7.499999999999176
20:00:00,20:05:14,3.0,3.749999999999588
20:00:00,20:05:15,1.0,-3.749999999999588
20:00:00,20:05:39,24.0,7.499999999999176
20:00:00,20:05:57,18.0,-7.499999999999176
20:00:00,20:06:02,5.0,3.749999999999588
20:00:00,20:06:30,28.0,-3.749999999999588
20:00:00,20:06:37,7.0,7.499999999999176
20:00:00,20:06:55,18.0,-3.749999999999588
20:00:00,20:07:42,47.0,3.749999999999588
20:00:00,20:07:43,1.0,-3.749999999999588
20:00:00,20:07:47,4.0,3.749999999999588
20:00:00,20:08:48,61.0,-11.249999999998764
20:00:00,20:08:49,1.0,3.749999999999588
20:00:00,20:09:00,11.0,-3.749999999999588
20:00:00,20:09:03,3.0,1.874999999999794
20:00:00,20:09:22,19.0,-5.624999999999381
20:00:00,20:09:25,3.0,3.749999999999587
20:00:00,20:09:29,4.0,-3.749999999999587
20:00:00,20:09:30,1.0,1.874999999999793
20:00:00,20:09:45,15.0,-1.874999999999794
20:00:00,20:09:47,2.0,1.874999999999794
20:00:00,20:10:01,14.0,-1.874999999999794
20:00:00,20:12:42,161.0,7.499999999999176
20:00:00,20:12:55,13.0,-3.749999999999588
20:00:00,20:13:10,15.0,3.749999999999588
20:00:00,20:13:14,4.0,-3.749999999999588
20:00:00,20:13:16,2.0,1.874999999999794
20:00:00,20:14:29,73.0,-5.624999999999381
20:00:00,20:14:35,6.0,7.499999999999175
20:00:00,20:14:36,1.0,-3.749999999999588
20:00:00,20:14:48,12.0,18.7500000000021
20:00:00,20:14:57,9.0,-7.5000000000033396
20:00:00,20:15:04,7.0,3.7500000000037517
20:00:00,20:15:05,1.0,-3.7500000000037517
20:00:00,20:15:31,26.0,18.750000000002103
20:00:00,20:15:32,1.0,-3.749999999999588
20:00:00,20:15:34,2.0,7.499999999999176
20:00:00,20:15:38,4.0,-7.499999999999176
20:00:00,20:15:43,5.0,7.499999999999176
20:00:00,20:15:44,1.0,-3.749999999999588
20:00:00,20:15:46,2.0,3.749999999999588
20:00:00,20:15:56,10.0,-7.499999999999176
20:00:00,20:16:17,21.0,7.499999999999176
20:00:00,20:16:18,1.0,-3.749999999999588
20:00:00,20:16:24,6.0,11.249999999998764
20:00:00,20:16:33,9.0,-7.499999999999176
20:00:00,20:16:34,1.0,3.749999999999588
20:00:00,20:16:35,1.0,-1.874999999999794
20:00:00,20:16:39,4.0,1.874999999999794
20:00:00,20:16:40,1.0,-3.749999999999588
20:00:00,20:16:58,18.0,11.249999999998764
20:00:00,20:17:04,6.0,-3.749999999999588
20:00:00,20:17:07,3.0,3.749999999999588
20:00:00,20:17:37,30.0,-14.999999999998352
20:00:00,20:17:38,1.0,3.749999999999588
20:00:00,20:18:01,23.0,-7.499999999999176
20:00:00,20:18:12,11.0,7.499999999999176
20:00:00,20:18:24,12.0,-3.749999999999588
20:00:00,20:18:25,1.0,3.749999999999588
20:00:00,20:18:27,2.0,-1.874999999999794
20:00:00,20:18:56,29.0,1.874999999999794
20:00:00,20:18:59,3.0,-1.874999999999794
20:00:00,20:19:01,2.0,3.749999999999588
20:00:00,20:19:14,13.0,-5.624999999999382
20:00:00,20:19:18,4.0,1.874999999999794
20:00:00,20:19:21,3.0,-1.874999999999794
20:00:00,20:19:25,4.0,1.874999999999794
20:00:00,20:20:19,54.0,-13.124999999998558
20:00:00,20:20:22,3.0,1.874999999999794
20:00:00,20:20:24,2.0,-1.874999999999794
20:00:00,20:20:29,5.0,3.749999999999588
20:00:00,20:21:47,78.0,-11.250000000002927
20:00:00,20:22:02,15.0,3.7500000000037517
20:00:00,20:22:17,15.0,-1.8750000000039577
20:00:00,20:22:41,24.0,1.8750000000039577
20:00:00,20:23:02,21.0,-7.5000000000033396
20:00:00,20:23:03,1.0,1.874999999999794
20:00:00,20:23:23,20.0,-1.874999999999794
20:00:00,20:23:29,6.0,3.749999999999588
20:00:00,20:23:30,1.0,-1.874999999999794
20:00:00,20:23:41,11.0,5.625000000003546
20:00:00,20:23:43,2.0,-3.7500000000037517
20:00:00,20:23:44,1.0,1.874999999999794
20:00:00,20:23:46,2.0,-1.874999999999794
20:00:00,20:24:21,35.0,3.7500000000037517
20:00:00,20:24:26,5.0,-3.7500000000037517
20:00:00,20:24:27,1.0,1.874999999999794
20:00:00,20:24:40,13.0,-1.874999999999794
20:00:00,20:24:41,1.0,3.7500000000037517
20:00:00,20:24:54,13.0,-3.7500000000037517
20:00:00,20:24:55,1.0,3.7500000000037517
20:00:00,20:24:59,4.0,-3.7500000000037517
20:00:00,20:25:01,2.0,3.7500000000037517
20:00:00,20:25:13,12.0,-1.8750000000039577
20:00:00,20:25:50,37.0,1.8750000000039577
20:00:00,20:26:53,63.0,-11.250000000002927
20:00:00,20:26:54,1.0,3.749999999999588
20:00:00,20:26:56,2.0,-1.874999999999794
20:00:00,20:27:12,16.0,1.874999999999794
20:00:00,20:27:29,17.0,-3.749999999999588
20:00:00,20:27:32,3.0,3.749999999999588
20:00:00,20:27:39,7.0,-3.749999999999588
20:00:00,20:27:40,1.0,3.749999999999588
20:00:00,20:27:46,6.0,-3.749999999999588
20:00:00,20:27:47,1.0,1.874999999999794
20:00:00,20:28:27,40.0,-5.624999999999382
20:00:00,20:28:45,18.0,3.749999999999588
20:00:00,20:29:34,49.0,-3.749999999999588
20:00:00,20:29:47,13.0,1.874999999999794
20:00:00,20:30:13,26.0,-1.874999999999794
20:00:00,20:30:24,11.0,1.874999999999794
20:00:00,20:30:28,4.0,-1.874999999999794
20:00:00,20:30:32,4.0,1.874999999999794
20:00:00,20:30:33,1.0,-1.874999999999794
20:00:00,20:30:37,4.0,1.874999999999794
20:00:00,20:30:38,1.0,-1.874999999999794
20:00:00,20:30:41,3.0,1.874999999999794
20:00:00,20:30:49,8.0,-1.874999999999794
20:00:00,20:31:03,14.0,3.749999999999588
20:00:00,20:31:10,7.0,-1.874999999999794
20:00:00,20:31:35,25.0,1.874999999999794
20:00:00,20:31:36,1.0,-3.749999999999588
20:00:00,20:31:49,13.0,3.749999999999588
20:00:00,20:32:52,63.0,-3.749999999999588
20:00:00,20:32:53,1.0,3.749999999999588
20:00:00,20:32:54,1.0,-3.749999999999588
20:00:00,20:33:02,8.0,3.749999999999588
20:00:00,20:33:03,1.0,-1.874999999999794
20:00:00,20:33:05,2.0,1.874999999999794
20:00:00,20:33:16,11.0,-3.749999999999588
20:00:00,20:33:21,5.0,3.749999999999588
20:00:00,20:33:35,14.0,-1.874999999999794
20:00:00,20:33:36,1.0,1.874999999999794
20:00:00,20:33:38,2.0,-1.874999999999794
20:00:00,20:34:33,55.0,3.749999999999588
20:00:00,20:35:31,58.0,-1.874999999999794
20:00:00,20:35:32,1.0,3.749999999999588
20:00:00,20:36:31,59.0,-11.249999999998764
20:00:00,20:37:17,46.0,3.749999999999587
20:00:00,20:37:41,24.0,-3.749999999999588
20:00:00,20:37:42,1.0,3.749999999999588
20:00:00,20:38:10,28.0,-3.749999999999587
20:00:00,20:38:11,1.0,3.749999999999587
20:00:00,20:38:26,15.0,-3.749999999999588
20:00:00,20:38:50,24.0,3.749999999999588
20:00:00,20:38:51,1.0,-1.874999999999794
20:00:00,20:40:15,84.0,1.874999999999794
20:00:00,20:40:23,8.0,-1.874999999999794
20:00:00,20:40:59,36.0,1.874999999999794
20:00:00,20:42:44,105.0,-11.24999999999876
20:00:00,20:42:46,2.0,3.749999999999587
20:00:00,20:42:59,13.0,-3.749999999999587
20:00:00,20:43:03,4.0,3.749999999999587
20:00:00,20:43:06,3.0,-1.8749999999997935
20:00:00,20:43:07,1.0,1.8749999999997935
20:00:00,20:43:09,2.0,-3.749999999999587
20:00:00,20:43:17,8.0,3.749999999999587
20:00:00,20:44:09,52.0,-7.499999999999174
20:00:00,20:44:10,1.0,1.8749999999997935
20:00:00,20:44:29,19.0,-1.8749999999997935
20:00:00,20:44:34,5.0,3.749999999999587
20:00:00,20:44:35,1.0,-1.8749999999997935
20:00:00,20:44:38,3.0,1.8749999999997935
20:00:00,20:45:16,38.0,-3.749999999999587
20:00:00,20:45:17,1.0,3.749999999999587
20:00:00,20:45:24,7.0,-1.8749999999997935
20:00:00,20:46:23,59.0,5.62499999999938
20:00:00,20:46:36,13.0,-3.749999999999587
20:00:00,20:46:37,1.0,1.8749999999997935
20:00:00,20:46:43,6.0,-1.8749999999997935
20:00:00,20:47:10,27.0,3.749999999999587
20:00:00,20:47:14,4.0,-3.749999999999587
20:00:00,20:47:16,2.0,3.749999999999587
20:00:00,20:47:17,1.0,-3.749999999999587
20:00:00,20:48:28,71.0,3.749999999999587
20:00:00,20:48:52,24.0,-3.749999999999587
20:00:00,20:49:00,8.0,3.749999999999587
20:00:00,20:49:01,1.0,-1.8749999999997935
20:00:00,20:49:03,2.0,1.8749999999997935
20:00:00,20:50:00,57.0,-3.749999999999587
20:00:00,20:51:22,82.0,3.749999999999587
20:00:00,20:51:30,8.0,-1.8749999999997935
20:00:00,20:51:32,2.0,1.8749999999997935
20:00:00,20:51:33,1.0,-1.8749999999997935
20:00:00,20:51:35,2.0,1.8749999999997935
20:00:00,20:51:36,1.0,-1.8749999999997935
20:00:00,20:51:38,2.0,1.8749999999997935
20:00:00,20:51:48,10.0,-3.749999999999587
20:00:00,20:51:49,1.0,3.749999999999587
20:00:00,20:51:50,1.0,-3.749999999999587
20:00:00,20:51:52,2.0,1.8749999999997935
20:00:00,20:51:53,1.0,-1.8749999999997935
20:00:00,20:52:48,55.0,3.749999999999587
20:00:00,20:54:08,80.0,-7.499999999999174
20:00:00,20:54:11,3.0,3.749999999999587
20:00:00,20:54:30,19.0,-3.749999999999587
20:00:00,20:54:32,2.0,3.749999999999587
20:00:00,20:54:34,2.0,-3.749999999999587
20:00:00,20:54:37,3.0,3.749999999999587
20:00:00,20:54:38,1.0,-1.8749999999997935
20:00:00,20:55:13,35.0,5.62499999999938
20:00:00,20:55:18,5.0,-3.749999999999587
20:00:00,20:55:19,1.0,3.749999999999587
20:00:00,20:55:22,3.0,-3.749999999999587
20:00:00,20:55:30,8.0,3.749999999999587
20:00:00,20:55:37,7.0,-1.8749999999997935
20:00:00,20:56:06,29.0,5.624999999999382
20:00:00,20:56:13,7.0,-3.7499999999995874
20:00:00,20:56:21,8.0,3.7499999999995874
20:00:00,20:57:19,58.0,-5.624999999999381
20:00:00,20:58:12,53.0,3.749999999999587
20:00:00,20:58:13,1.0,-1.8749999999997935
20:00:00,20:58:15,2.0,1.8749999999997935
20:00:00,20:58:16,1.0,-1.8749999999997935
20:00:00,20:58:22,6.0,3.7499999999995874
20:00:00,20:58:23,1.0,-1.874999999999794
20:00:00,20:58:37,14.0,1.874999999999794
20:00:00,20:58:38,1.0,-1.874999999999794
20:00:00,20:59:40,62.0,5.62499999999938
20:00:00,20:59:58,18.0,-3.749999999999587
20:00:00,20:59:59,1.0,1.874999999999793
20:00:00,20:00:20,2.0,-3.749999999999587
20:00:00,20:00:30,10.0,3.749999999999587
20:00:00,20:00:34,4.0,-1.8749999999997935
20:00:00,20:00:35,1.0,1.8749999999997935
20:00:00,20:00:39,4.0,-1.8749999999997935
20:00:00,20:01:22,43.0,3.749999999999587
20:00:00,20:01:48,26.0,-1.8749999999997935
20:00:00,20:02:04,16.0,13.124999999998554
20:00:00,20:02:10,6.0,-1.874999999999794
20:00:00,20:02:13,3.0,3.749999999999588
20:00:00,20:02:16,3.0,-5.624999999999382
20:00:00,20:02:23,7.0,5.624999999999382
20:00:00,20:02:49,26.0,-3.749999999999588
20:00:00,20:02:50,1.0,3.749999999999588
20:00:00,20:02:53,3.0,-1.874999999999794
20:00:00,20:02:54,1.0,1.874999999999794
20:00:00,20:03:01,7.0,-3.749999999999588
20:00:00,20:03:07,6.0,3.749999999999588
20:00:00,20:03:08,1.0,-3.749999999999588
20:00:00,20:03:13,5.0,3.749999999999588
20:00:00,20:03:57,44.0,-3.749999999999588
20:00:00,20:03:59,2.0,3.749999999999588
20:00:00,20:04:05,6.0,-3.749999999999588
20:00:00,20:05:02,57.0,11.249999999998764
20:00:00,20:05:11,9.0,-7.499999999999176
20:00:00,20:05:14,3.0,3.749999999999588
20:00:00,20:05:15,1.0,-3.749999999999588
20:00:00,20:05:39,24.0,7.499999999999176
20:00:00,20:05:57,18.0,-7.499999999999176
20:00:00,20:06:02,5.0,3.749999999999588
20:00:00,20:06:30,28.0,-3.749999999999588
20:00:00,20:06:37,7.0,7.499999999999176
20:00:00,20:06:55,18.0,-3.749999999999588
20:00:00,20:07:42,47.0,3.749999999999588
20:00:00,20:07:43,1.0,-3.749999999999588
20:00:00,20:07:47,4.0,3.749999999999588
20:00:00,20:08:48,61.0,-11.249999999998764
20:00:00,20:08:49,1.0,3.749999999999588
20:00:00,20:09:00,11.0,-3.749999999999588
20:00:00,20:09:03,3.0,1.874999999999794
20:00:00,20:09:22,19.0,-5.624999999999381
20:00:00,20:09:25,3.0,3.749999999999587
20:00:00,20:09:29,4.0,-3.749999999999587
20:00:00,20:09:30,1.0,1.874999999999793
20:00:00,20:09:45,15.0,-1.874999999999794
20:00:00,20:09:47,2.0,1.874999999999794
20:00:00,20:10:01,14.0,-1.874999999999794
20:00:00,20:12:42,161.0,7.499999999999176
20:00:00,20:12:55,13.0,-3.749999999999588
20:00:00,20:13:10,15.0,3.749999999999588
20:00:00,20:13:14,4.0,-3.749999999999588
20:00:00,20:13:16,2.0,1.874999999999794
20:00:00,20:14:29,73.0,-5.624999999999381
20:00:00,20:14:35,6.0,7.499999999999175
20:00:00,20:14:36,1.0,-3.749999999999588
20:00:00,20:14:48,12.0,18.7500000000021
20:00:00,20:14:57,9.0,-7.5000000000033396
20:00:00,20:15:04,7.0,3.7500000000037517
20:00:00,20:15:05,1.0,-3.7500000000037517
20:00:00,20:15:31,26.0,18.750000000002103
20:00:00,20:15:32,1.0,-3.749999999999588
20:00:00,20:15:34,2.0,7.499999999999176
20:00:00,20:15:38,4.0,-7.499999999999176
20:00:00,20:15:43,5.0,7.499999999999176
20:00:00,20:15:44,1.0,-3.749999999999588
20:00:00,20:15:46,2.0,3.749999999999588
20:00:00,20:15:56,10.0,-7.499999999999176
20:00:00,20:16:17,21.0,7.499999999999176
20:00:00,20:16:18,1.0,-3.749999999999588
20:00:00,20:16:24,6.0,11.249999999998764
20:00:00,20:16:33,9.0,-7.499999999999176
